step,amount,Amount Category,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
544,179997.78,1,179997.78,0.0,-17824680.14,0.0,1,False,False,False,True
407,40626.73,1,0.0,0.0,283354.23,323980.96,0,True,False,False,False
383,135845.3,1,4731371.88,0.0,0.0,0.0,1,False,False,False,True
182,45445.04,1,11871.0,0.0,0.0,45445.04,0,True,False,False,False
567,122816.67,1,122816.67,0.0,0.0,0.0,1,False,False,False,True
44,1513.11,0,140848.27,139335.16,0.0,0.0,0,False,False,True,False
374,421916.79,1,0.0,0.0,39684441.87,40106358.65,0,False,False,False,True
179,294512.9,1,14377.0,0.0,0.0,294512.9,0,True,False,False,False
326,6546019.0,2,6546019.0,0.0,1342360.08,14782044.54,1,True,False,False,False
348,188243.03,1,102264.6,0.0,3122027.26,3310270.29,0,True,False,False,False
21,10462.11,1,555478.0,545015.89,0.0,0.0,0,False,False,True,False
692,154302.88,1,0.0,0.0,3538613.6,3692916.47,0,True,False,False,False
448,14133.69,1,14133.69,0.0,2634011.66,2648145.35,1,True,False,False,False
605,504532.72,1,504532.72,0.0,0.0,0.0,1,False,False,False,True
143,11075.99,1,118394.03,107318.04,0.0,0.0,0,False,False,True,False
403,103883.35,1,119836.0,15952.65,268870.66,372754.01,0,True,False,False,False
236,31488.3,1,0.0,0.0,344879.47,376367.77,0,True,False,False,False
310,7675.49,1,185610.86,177935.37,0.0,0.0,0,False,False,True,False
403,4041.61,1,213002.06,208960.45,-17824680.14,0.0,0,False,False,True,False
12,2007.0,0,2007.0,0.0,0.0,250910.76,1,True,False,False,False
276,1567591.24,1,1567591.24,0.0,0.0,0.0,1,False,False,False,True
222,1338487.47,1,1338487.47,0.0,0.0,0.0,1,False,False,False,True
257,338821.66,1,12500258.89,12839080.55,413490.32,74668.65,0,False,False,False,False
138,303432.45,1,303432.45,0.0,0.0,522695.73,1,True,False,False,False
159,17724.71,1,0.0,0.0,0.0,0.0,0,False,False,True,False
359,15892.85,1,57609.835,0.0,0.0,0.0,0,False,False,True,False
646,6468916.64,2,6468916.64,0.0,0.0,0.0,1,False,False,False,True
460,1424002.7,1,57609.835,0.0,11407.5,1435410.19,1,True,False,False,False
217,81216.23,1,-18038420.04,0.0,0.0,156735.255,1,False,False,False,True
131,142040.02,1,0.0,0.0,197277.77,339317.78,0,True,False,False,False
404,136831.24,1,0.0,0.0,689939.0,826770.25,0,True,False,False,False
318,247455.25,1,247455.25,0.0,0.0,0.0,1,False,False,False,True
15,318728.64,1,0.0,0.0,872911.65,1015533.74,0,True,False,False,False
95,3492056.91,2,3492056.91,0.0,793803.18,4285860.09,1,True,False,False,False
253,1317718.03,1,20455.0,0.0,355967.69,1673685.72,0,False,False,False,True
672,21332.46,1,21332.46,0.0,0.0,0.0,1,True,False,False,False
136,184166.32,1,0.0,0.0,420445.9,604612.22,0,True,False,False,False
393,2069370.72,1,82212.0,0.0,0.0,2069370.72,0,False,False,False,True
322,199003.32,1,0.0,0.0,392287.94,591291.26,0,True,False,False,False
393,14316.26,1,0.0,0.0,0.0,0.0,0,False,False,True,False
154,814413.32,1,0.0,0.0,2419921.64,3234334.96,0,False,False,False,True
188,141165.9,1,10375.0,0.0,0.0,141165.9,0,False,False,False,True
